       season                                     series                         team  races  wins
0        2005       australian formula ford championship              gk martin p / l      6     2
1        2005  new south wales formula ford championship  borland racing developments     18    11
2        2005        victorian formula ford championship  borland racing developments     15     6
3        2006       australian formula ford championship             cams rising star     23     8
4        2006          british formula ford championship          alan docking racing      8     1
5        2007         british formula three championship          alan docking racing     22     0
6   2007 - 08                              a1 grand prix            a1 team australia     12     0
7        2008         british formula three championship   räikkönen robertson racing     22     0
8   2008 - 09                              a1 grand prix            a1 team australia     14     0
9        2009                 formula renault 3.5 series                comtec racing      7     0
10       2009                        superleague formula                   rangers fc     12     0
11       2009                  australian mini challenge          bmw group australia      2     0
12       2010                        superleague formula                beijing guoan     26     6
13       2010                        superleague formula              atlético madrid      3     0
14       2011                        superleague formula                    australia      6     2
15       2012               world endurance championship                  adr - delta      8     0
