    year                         award                             nominated work                                  category     result
0   2007                  premios oye!                 lola érase una vez (album)                        artista revelacion  nominated
1   2008          premios tv y novelas                       lola , érase una vez                 actriz revelacion del año        won
2   2009             premio lo nuestro                 lola érase una vez (álbum)                    revelación pop del año        won
3   2011     kids choice awards méxico                              sueña conmigo  personaje femenino favorito de una serie  nominated
4   2011  kids choice awards argentina                              sueña conmigo                              mejor actriz  nominated
5   2011  kids choice awards argentina                              sueña conmigo                          revelacion en tv        won
6   2011             meus premios nick                              sueña conmigo                              mejor actriz  nominated
7   2011             meus premios nick                              sueña conmigo                            cabello maluco  nominated
8   2012              premios juventud                               moda (style)                   quiero vestir como ella  nominated
9   2012          premios celebrity e!                          amores verdaderos                        celebridad del año  nominated
10  2013              premios juventud  me puedes pedir lo que sea (feat marconi)                       mejor tema novelero        won
11  2013              premios juventud                          amores verdaderos               chica que me quita el sueño  nominated
12  2013         mtv millennial awards                              eiza gonzález                          bizcocho del año  nominated
13  2013     kids choice awards méxico                              eiza gonzález                          solista favorito        won
14  2013     kids choice awards méxico        eiza gonzález por epp en los croods              doblaje favorito en película        won
