    year        country                                      team            individual                         location
0   1992  united states             fred couples & davis love iii            brett ogle                   madrid , spain
1   1991         sweden  anders forsbrand & per - ulrik johansson           ian woosnam                     rome , italy
2   1990        germany         torsten giedeon & bernhard langer         payne stewart          orlando , florida , usa
3   1989      australia                peter fowler & wayne grady          peter fowler                 marbella , spain
4   1988  united states              ben crenshaw & mark mccumber          ben crenshaw            melbourne , australia
5   1987          wales             david llewellyn & ian woosnam           ian woosnam              maui , hawaii , usa
6   1986  no tournament                             no tournament         no tournament                    no tournament
7   1985         canada                dave barr & dan halldorson          howard clark     la quinta , california , usa
8   1984          spain        josé maria cañizares & josé rivero  josé maria cañizares                     rome , italy
9   1983  united states                  rex caldwell & john cook             dave barr              jakarta , indonesia
10  1982          spain      josé maria cañizares & manuel piñero         manuel piñero                acapulco , mexico
11  1981  no tournament                             no tournament         no tournament                    no tournament
12  1980         canada              dan halldorson & jim nelford            sandy lyle                bogotá , colombia
13  1979  united states                hale irwin & john mahaffey            hale irwin                  athens , greece
14  1978  united states                john mahaffey & andy north         john mahaffey           hanalei , hawaii , usa
15  1977          spain        seve ballesteros & antonio garrido           gary player             manila , philippines
16  1976          spain          seve ballesteros & manuel piñero  ernesto perez acosta  palm springs , california , usa
17  1975  united states                lou graham & johnny miller         johnny miller               bangkok , thailand
18  1974   south africa                   bobby cole & dale hayes            bobby cole              caracas , venezuela
19  1973  united states             johnny miller & jack nicklaus         johnny miller                 marbella , spain
20  1972         taiwan         hsieh min - nan & lu liang - huan       hsieh min - nan            melbourne , australia
21  1971  united states               jack nicklaus & lee trevino         jack nicklaus       palm beach , florida , usa
22  1970      australia               bruce devlin & david graham    roberto de vicenzo         buenos aires , argentina
23  1969  united states               orville moody & lee trevino           lee trevino                        singapore
24  1968         canada               al balding & george knudson            al balding                     rome , italy
25  1967  united states             jack nicklaus & arnold palmer         arnold palmer             mexico city , mexico
