    pick           player    position     nationality                                            nhl team          college / junior / club team
0     27      cory sarich     defence          canada           buffalo sabres (from ottawa via st louis)                saskatoon blades (whl)
1     28     pavel skrbek     defence  czech republic  pittsburgh penguins (from san jose via new jersey)          hc kladno ( czech republic )
2     29    dan lacouture   left wing   united states                                  new york islanders           enfield jr whalers ( ejhl )
3     30       josh green      centre          canada                                   los angeles kings             medicine hat tigers (whl)
4     32       chris hajt     defence          canada                                     edmonton oilers                    guelph storm (ohl)
5     33  darren van oene   left wing          canada                                      buffalo sabres             brandon wheat kings (whl)
6     34   trevor wasyluk   left wing          canada                                    hartford whalers             medicine hat tigers (whl)
7     35      matt cullen      centre   united states                             mighty ducks of anaheim      st cloud state university (ncaa)
8     36     marek posmyk     defence  czech republic               toronto maple leafs (from new jersey)        dukla jihlava (czech republic)
9     37     marian cisar  right wing        slovakia                   los angeles kings (from winnipeg)     hc slovan bratislava ( slovakia )
10    38        wes mason   left wing          canada                  new jersey devils (from vancouver)                    sarnia sting (ohl)
11    39   travis brigley   left wing          canada                                      calgary flames           lethbridge hurricanes (whl)
12    40      steve begin      centre          canada                      calgary flames (from st louis)            val - d'or foreurs (qmjhl)
13    41      josh dewolf     defence   united states     new jersey devils (from toronto via pittsburgh)          twin cities vulcans ( ushl )
14    42        jeff paul     defence          canada                 chicago blackhawks (from tampa bay)           niagara falls thunder (ohl)
15    43        jan bulis      centre  czech republic                                 washington capitals                    barrie colts (ohl)
16    44    mathieu garon  goaltender          canada                                  montreal canadiens          victoriaville tigres (qmjhl)
17    45     henry kuster  right wing          canada                                       boston bruins             medicine hat tigers (whl)
18    46     geoff peters      centre          canada      chicago blackhawks (from florida via san jose)         niagara - falls thunder (ohl)
19    47  pierre dagenais   left wing          canada      new jersey devils (from chicago via tampa bay)               moncton alpines (qmjhl)
20    48    daniel goneau   left wing          canada                                    new york rangers             granby prédateurs (qmjhl)
21    49      colin white     defence          canada                 new jersey devils (from pittsburgh)               hull olympiques (qmjhl)
22    50  francis larivee  goaltender          canada             toronto maple leafs (from philadelphia)  laval titan collège français (qmjhl)
23    51     yuri babenko      centre          russia                                  colorado avalanche        krylya sovetov moscow (russia)
