    round  pick             player        position            college
0       1    26          greg bell    running back         notre dame
1       2    41    eric richardson   wide receiver     san jose state
2       3    77   rodney bellinger  defensive back         miami (fl)
3       3    79       sean mcnanie   defensive end    san diego state
4       3    82        speedy neal    running back         miami (fl)
5       4    95  mitchell brookins   wide receiver           illinois
6       5   128          john kidd          punter       northwestern
7       6   155        tony slaton          center                usc
8       7   182         stan david  defensive back         texas tech
9       8   209     stacy rayfield  defensive back  texas - arlington
10      9   236       leroy howell   defensive end  appalachian state
11     10   236         joe azelby      linebacker            harvard
12     11   296        craig white   wide receiver           missouri
13     12   323      russell davis       tight end           maryland
