    pick            player    position    nationality                 nhl team        college / junior / club team
0     29        rich leduc      centre         canada  california golden seals  trois - riviã¨res draveurs (qmjhl)
1     30  ralph hopiavouri     defence         canada      toronto maple leafs             toronto marlboros (oha)
2     31        jim cahoon      centre         canada       montreal canadiens   university of north dakota (wcha)
3     32         joe noris     defence  united states      pittsburgh penguins             toronto marlboros (oha)
4     33         bill hajt     defence         canada           buffalo sabres             saskatoon blades (wchl)
5     34       vic venasky      centre         canada        los angeles kings         university of denver (wcha)
6     35        ron wilson     defence         canada    minnesota north stars            flin flon bombers (wchl)
7     36        glen irwin     defence         canada      philadelphia flyers               estevan bruins (wchl)
8     37        gavin kirk      centre         canada      toronto maple leafs             toronto marlboros (oha)
9     38      john garrett  goaltender         canada           st louis blues            peterborough petes (oha)
10    39   richard lemieux      centre         canada        vancouver canucks     montreal junior canadiens (oha)
11    40       bob peppler   left wing         canada      chicago black hawks     st catharines black hawks (oha)
12    41        terry west      centre         canada         new york rangers                london knights (oha)
13    42       dave bonter      centre         canada            boston bruins               estevan bruins (wchl)
