                           player      date of birth   batting style               bowling style              first class team
0     alistair campbell (captain)  23 september 1972   left hand bat         right arm off break                   mashonaland
1                     craig evans   29 november 1969  right hand bat            right arm medium                   mashonaland
2   andy flower (wicket - keeper)      28 april 1968   left hand bat             wicket - keeper                   mashonaland
3                    grant flower   20 december 1970  right hand bat      left arm orthodox spin                   mashonaland
4                  murray goodwin   11 december 1972  right hand bat         right arm leg break                   mashonaland
5                    neil johnson    24 january 1970   left hand bat     right arm fast - medium  matabeleland kwazulu - natal
6                  pommie mbangwa       26 june 1976  right hand bat     right arm fast - medium      mashonaland matabeleland
7                    gavin rennie    12 january 1976   left hand bat      left arm orthodox spin                   mashonaland
8                     paul strang       28 july 1970  right hand bat  right arm leg break googly                   mashonaland
9                    heath streak      16 march 1974  right hand bat     right arm fast - medium                  matabeleland
10                  andy whittall      28 march 1973  right hand bat         right arm off break                  matabeleland
11                  craig wishart     9 january 1974  right hand bat         right arm off break      mashonaland matabeleland
12                   henry olonga        3 july 1976  right hand bat              right arm fast      mashonaland matabeleland
13                    adam huckle  21 september 1971  right hand bat  right arm leg break googly                  matabeleland
