   speed                craft                            pilot (s)           location               date
0      -               hd - 4                        casey baldwin     bras d'or lake  19 september 1919
1      -         miss america                             gar wood      detroit river  15 september 1920
2      -      miss america ii                             gar wood      detroit river   6 september 1921
3      -   farman hydroglider                         jules fisher        river seine   10 november 1924
4      -      miss america ii                          george wood      detroit river   4 september 1928
5      -     miss america vii                             gar wood       indian creek      23 march 1929
6      -      miss england ii                        henry segrave         windermere       13 june 1930
7      -      miss america ix                             gar wood       indian creek      20 march 1931
8      -      miss england ii                             kaye don      paranã¡ river      15 april 1931
9      -      miss england ii                             kaye don         lake garda       31 july 1931
10     -      miss america ix                             gar wood       indian creek    5 february 1932
11     -     miss england iii                             kaye don        loch lomond       18 july 1932
12     -       miss america x                             gar wood     st clair river  20 september 1932
13     -          bluebird k3                     malcolm campbell      lake maggiore   1 september 1937
14     -          bluebird k3                     malcolm campbell      lake maggiore   2 september 1937
15     -          bluebird k3                     malcolm campbell       hallwilersee  17 september 1938
16     -          bluebird k4                     malcolm campbell     coniston water     19 august 1939
17     -   slo - mo - shun iv         stanley sayres , ted o jones    lake washington       26 june 1950
18     -   slo - mo - shun iv  stanley sayres , elmer leninschmidt    lake washington        7 july 1952
19     -          bluebird k7                      donald campbell          ullswater       23 july 1955
20     -          bluebird k7                      donald campbell          lake mead   16 november 1955
21     -          bluebird k7                      donald campbell     coniston water  19 september 1956
22     -          bluebird k7                      donald campbell     coniston water    7 november 1957
23     -          bluebird k7                      donald campbell     coniston water   10 november 1958
24     -          bluebird k7                      donald campbell     coniston water        14 may 1959
25     -          bluebird k7                      donald campbell    lake dumbleyung   31 december 1964
26     -              hustler                           lee taylor  lake guntersville       30 june 1967
27     -  spirit of australia                            ken warby      blowering dam   20 november 1977
28     -  spirit of australia                            ken warby      blowering dam     8 october 1978
