                           name                    original club                    stadium                 city              country                 sport  founded                  reason for foundation with source
0                 afc liverpool                     liverpool fc               valerie park              prescot              england  association football     2008                protesting ticket prices at anfield
1             bradford city afc                    manningham fc              valley parade             bradford              england  association football     1903                       wanted to play another sport
2            bray wanderers afc                      st kevin 's           carlisle grounds                 bray  republic of ireland  association football     1942                       wanted to play another sport
3          bv borussia dortmund                    trinity youth           westfalenstadion             dortmund              germany  association football     1909  broke away in protest of trinity youth 's manager
4        cruzeiro esporte clube              yale atlético clube                   mineirão       belo horizonte               brazil  association football     1921                  protesting yale 's administration
5               enfield town fc                       enfield fc             goldsdown road               london              england  association football     2001       protesting the way the original club was run
6   hapoel katamon jerusalem fc              hapoel jerusalem fc  hebrew university stadium            jerusalem               israel  association football     2007     protesting the management of the original club
7                  liverpool fc                       everton fc                    anfield            liverpool              england  association football     1892                       protesting over ground usage
8                  london wasps                     harlequin fc                 adams park         high wycombe              england           rugby union     1867        split in membership of hampshire rugby club
9             newcastle falcons                     gosforth rfc              kingston park  newcastle upon tyne              england           rugby union     1990                        wanted to turn professional
10              norwich city fc                 norwich ceyms fc                carrow road              norwich              england  association football     1902                       wanted to play another sport
11               real madrid cf           club español de madrid  estadio santiago bernabéu               madrid                spain  association football     1902                           club split in membership
12  royal ordnance factories fc                 royal arsenal fc             invicta ground               london              england  association football     1893          wanted a team for amateur factory workers
13             sheffield eagles  huddersfield - sheffield giants               bramall lane            sheffield              england          rugby league     2000                  protesting an unsuccessful merger
14                    torino fc                      juventus fc  stadio olimpico di torino                turin                italy  association football     1906                 protesting a move away from torino
