     rank                nation  gold  silver  bronze  total
0       1                 italy    18       5      12     35
1       2         united states    10      10       9     29
2       3                 china     7      15       9     31
3       4             australia     5       8       0     13
4       5               finland     4       1       3      8
5       6         great britain     3       2       4      9
6       7                  ussr     2       2       0      4
7       8                russia     2       1       4      7
8       9                kuwait     1       1       3      5
9      10        chinese taipei     1       1       2      4
10     11                 spain     1       1       0      2
11     11  united arab emirates     1       1       0      2
12     13           south korea     1       0       4      5
13     14                france     1       0       2      3
14     15                sweden     0       3       0      3
15     16               germany     0       2       0      2
16     17               hungary     0       1       2      3
17     18                 japan     0       1       1      2
18     19                canada     0       1       0      1
19     19                turkey     0       1       0      1
20     21        czech republic     0       0       1      1
21     21                 india     0       0       1      1
22  total                 total    57      57      57    171
