                             player    nationality          position         from       school / country
0                     jannero pargo  united states             guard         2002               arkansas
1       parker , smush smush parker  united states             guard         2005                fordham
2                     myles patrick  united states           forward         1980                 auburn
3                   ruben patterson  united states   guard / forward         1998             cincinnati
4                        jim paxson  united states   guard / forward         1956                 dayton
5                       gary payton  united states             guard         2003           oregon state
6   peeler , anthony anthony peeler  united states             guard         1992               missouri
7                    mike penberthy  united states             guard         2000  the master 's college
8                       sam perkins  united states  forward / center         1990         north carolina
9                        john pilch  united states           forward         1951                wyoming
10                      jim pollard  united states  forward / center         1949               stanford
11        powell , josh josh powell  united states           forward         2008   north carolina state
12                        jim price  united states             guard  1972 , 1978             louisville
13                     laron profit  united states   guard / forward         2005               maryland
