               competition                      place  year         horse                              rank
0       world championship                       haag  1994          cyna                                 5
1    european championship                       rome  1995          cyna                                 4
2    european championship                   burghley  1997          cyna           stopped in second event
3       world championship                      rooma  1998      uppercut                                 9
4    european championship                  luhmühlen  1999      uppercut                                 4
5                 olympics                     sydney  2000      uppercut  disqualification in second event
6    european championship                        pau  2001  ypäjä karuso                                17
7       world championship                      jerez  2002  ypäjä karuso                                 3
8   badminton horse trials  gloucestershire , england  2003  ypäjä karuso                                 2
9    european championship                   blenheim  2005  ypäjä karuso                                 6
10         world cup final                      malmö  2005  ypäjä karuso                                 3
11      world championship                     aachen  2006  ypäjä karuso           stopped in second event
12    finland championship           kerava , finland  2007  ypäjä karuso                                 1
