      district              incumbent       party  first elected                                       results                                          candidates
0    florida 1        joe scarborough  republican           1994                                  re - elected                       joe scarborough (r) unopposed
1    florida 2             allen boyd  democratic           1996                                  re - elected                allen boyd (d) 72% doug dodd (r) 28%
2    florida 3          corrine brown  democratic           1992                                  re - elected      corrine brown (d) 58% jennifer carroll (r) 42%
3    florida 5          karen thurman  democratic           2002                                  re - elected           karen thurman (d) 64% pete enwall (r) 36%
4    florida 6          cliff stearns  republican           1988                                  re - elected                         cliff stearns (r) unopposed
5    florida 7              john mica  republican           1992                                  re - elected               john mica (r) 63% dan vaughen (d) 37%
6    florida 8          bill mccollum  republican           1980  retired to run for us senate republican hold             ric keller (r) 51% linda chapin (d) 49%
7    florida 9      michael bilirakis  republican           1982                                  re - elected  michael bilirakis (r) 81.9% jon duffey (ref) 18.1%
8   florida 11              jim davis  democratic           1996                                  re - elected      jim davis (d) 84.6% charlie westlake (l) 15.4%
9   florida 12         charles canady  republican           1992                       retired republican hold             adam putnam (r) 57% mike stedem (d) 43%
10  florida 13             dan miller  republican           1992                                  re - elected              dan miller (r) 64% daniel dunn (d) 36%
11  florida 14            porter goss  republican           1988                                  re - elected       porter goss (r) 85.2% sam farling (ref) 14.8%
12  florida 17            carrie meek  democratic           1992                                  re - elected                           carrie meek (d) unopposed
13  florida 18  ileana ros - lehtinen  republican           1989                                  re - elected                 ileana ros - lehtinen (r) unopposed
14  florida 19          robert wexler  democratic           1996                                  re - elected  robert wexler (d) 72% morris kent thompson (r) 28%
15  florida 20          peter deutsch  democratic           1992                                  re - elected                         peter deutsch (d) unopposed
16  florida 21  lincoln diaz - balart  republican           1992                                  re - elected                 lincoln diaz - balart (r) unopposed
17  florida 22              clay shaw  republican           1980                                  re - elected              clay shaw (r) 50% elaine bloom (d) 50%
