   language                  artist                         song  place  points
0     dutch          hearts of soul                     waterman      7       7
1    french               henri dès                       retour      4       8
2   italian          gianni morandi             occhi di ragazza      8       5
3   slovene               eva sršen     pridi , dala ti bom cvet     11       4
4    french             jean vallée              viens l'oublier      8       5
5    french              guy bonnet              marie - blanche      4       8
6   english             mary hopkin   knock , knock who 's there      2      26
7    french  david alexandre winter        je suis tombé du ciel     12       0
8   spanish          julio iglesias                   gwendolyne      4       8
9    french      dominique dussault                      marlène      8       5
10   german           katja ebstein  wunder gibt es immer wieder      3      12
11  english                    dana      all kinds of everything      1      32
