       season          oberbayern a          oberbayern b      niederbayern          schwaben                oberpfalz
0   1951 - 52      sc münchen - süd  spvgg helios münchen   spvgg plattling        fc kempten           sv mitterteich
1   1952 - 53        mtv ingolstadt           fc penzberg  spvgg deggendorf       tsv kottern           sv mitterteich
2   1953 - 54          bsc sendling          tsv raubling           sv saal  spvgg kaufbeuren  tv sulzbach - rosenberg
3   1954 - 55            tsg pasing            asv dachau           sv saal      fc memmingen    fc maxhütte - haidhof
4   1955 - 56   fc bayern munich ii             sv aubing      1. fc passau        fc kempten            fc schwandorf
5   1956 - 57            tsg pasing       sc 1906 münchen      1. fc passau        fc kempten    fc maxhütte - haidhof
6   1957 - 58  spvgg helios münchen             sv aubing      1. fc passau  spvgg kaufbeuren        spvgg vohenstrauß
7   1958 - 59    tsv 1860 munich ii      fsv pfaffenhofen  spvgg deggendorf      fc memmingen  turnerschaft regensburg
8   1959 - 60    tsv 1860 rosenheim            tsg pasing    spvgg landshut       tsv kottern            tus rosenberg
9   1960 - 61             fc oberau        esv ingolstadt      1. fc passau   tsv königsbrunn           tv wackersdorf
10  1961 - 62     wacker burghausen     fc wacker münchen           sv saal    bc augsburg ii       jahn regensburg ii
