     rank            nation  gold  silver  bronze  total
0       1            norway    15      10       1     26
1       2     great britain    12       6       6     24
2       3     united states    10       5       7     22
3       4            sweden     8       8       8     24
4       5            france     5       7       7     19
5       6           denmark     5       7       2     14
6       7       netherlands     3       3       4     10
7       8           belgium     2       3       2      7
8       9             italy     2       1       3      6
9      10      soviet union     2       1       0      3
10     11       new zealand     2       0       0      2
11     12           germany     1       2       2      5
12     13         australia     1       1       1      3
13     13     germany (eua)     1       1       1      3
14     13       switzerland     1       1       1      3
15     16           bahamas     1       0       1      2
16     17            greece     1       0       0      1
17     17  mixed team (zzx)     1       0       0      1
18     19          portugal     0       2       1      3
19     20         argentina     0       2       0      2
20     21           finland     0       1       5      6
21     22            canada     0       1       1      2
22     23           austria     0       1       0      1
23     23              cuba     0       1       0      1
24     23      west germany     0       1       0      1
25     26            brazil     0       0       1      1
26     26             spain     0       0       1      1
27     26           estonia     0       0       1      1
28     26      east germany     0       0       1      1
29     26            russia     0       0       1      1
30  total                30    73      65      58    196
