               senator       party  district       home town  took office
0         bill ratliff  republican         1  mount pleasant         1989
1     florence shapiro  republican         2           plano         1993
2           bill haley  democratic         3          center         1992
3        carl a parker  democratic         4     port arthur         1977
4           jim turner  democratic         5        crockett         1991
5          dan shelley  republican         6          crosby         1993
6        don henderson  republican         7         houston         1993
7        oh ike harris  republican         8          dallas         1967
8         david sibley  republican         9            waco         1991
9         chris harris  republican        10       arlington         1991
10   jerry e patterson  republican        11         houston         1993
11       mike moncrief  democratic        12      fort worth         1991
12  craig a washington  democratic        13         houston         1983
13  gonzalo barrientos  democratic        14          austin         1985
14       john whitmire  democratic        15         houston         1983
15       john n leedom  republican        16          dallas         1981
16    j e buster brown  republican        17    lake jackson         1981
17      ken armbrister  democratic        18        victoria         1987
18        gregory luna  democratic        19     san antonio         1985
19      carlos f truan  democratic        20  corpus christi         1977
20    judith zaffirini  democratic        21          laredo         1987
21         jane nelson  republican        22      lewisville         1993
22          royce west  democratic        23          dallas         1993
23       frank l madla  democratic        24     san antonio         1993
24           bill sims  democratic        25     san antonio         1983
25      jeff wentworth  republican        26     san antonio         1992
26    eddie lucio , jr  democratic        27     brownsville         1991
27       john montford  democratic        28         lubbock         1982
28        peggy rosson  democratic        29         el paso         1991
29      steve carriker  democratic        30            roby         1988
30         teel bivins  republican        31        amarillo         1989
