   year (ceremony)          film title used in nomination                             original title             director             result
0      1956 (29th)                the captain of köpenick                 der hauptmann von köpenick       helmut käutner            nominee
1      1957 (30th)                the devil came at night               nachts , wenn der teufel kam       robert siodmak            nominee
2      1958 (31st)                       arms and the man                                     helden    franz peter wirth            nominee
3      1959 (32nd)                             the bridge                                 die brücke       bernhard wicki            nominee
4      1960 (33rd)                                  faust                                      faust         peter gorski      not nominated
5      1966 (39th)                          young törless                          der junge törless   volker schlöndorff      not nominated
6      1967 (40th)                                 tattoo                                tätowierung      johannes schaaf      not nominated
7      1968 (41st)  artists under the big top : perplexed  die artisten in der zirkuskuppel : ratlos      alexander kluge      not nominated
8      1969 (42nd)            hunting scenes from bavaria                jagdszenen aus niederbayern    peter fleischmann      not nominated
9      1970 (43rd)                                     ok                                         ok    michael verhoeven      not nominated
10     1971 (44th)                             the castle                                 das schloß        rudolf noelte      not nominated
11     1972 (45th)                                 trotta                                     trotta      johannes schaaf      not nominated
12     1973 (46th)                         the pedestrian                              der fußgänger    maximilian schell            nominee
13     1974 (47th)                 one or the other of us                       einer von uns beiden    wolfgang petersen      not nominated
14     1975 (48th)            the enigma of kaspar hauser         jeder für sich und gott gegen alle        werner herzog      not nominated
15     1976 (49th)                              the clown                     ansichten eines clowns        vojtěch jasný      not nominated
16     1977 (50th)                    the american friend                   der amerikanische freund          wim wenders      not nominated
17     1978 (51st)                         the glass cell                         die gläserne zelle  hans w geißendörfer            nominee
18     1979 (52nd)                           the tin drum                           die blechtrommel   volker schlöndorff  won academy award
19     1980 (53rd)                                 fabian                                     fabian           wolf gremm      not nominated
20     1982 (55th)                           fitzcarraldo                               fitzcarraldo        werner herzog      not nominated
21     1983 (56th)                      a woman in flames                        die flambierte frau   robert van ackeren      not nominated
22     1984 (57th)                    man under suspicion                          morgen in alabama   norbert kückelmann      not nominated
23     1985 (58th)                          angry harvest                              bittere ernte    agnieszka holland            nominee
24     1986 (59th)                                   men…                                    männer…         doris dörrie      not nominated
25     1987 (60th)                        wings of desire                     der himmel über berlin          wim wenders      not nominated
26     1988 (61st)                                yasemin                                    yasemin            hark bohm      not nominated
