     rank          nation  gold  silver  bronze  total
0       1          russia     7       1       5     13
1       2           japan     4       1       0      5
2       3        bulgaria     2       1       1      4
3       4         georgia     2       0       2      4
4       5            cuba     1       2       2      5
5       6            iran     1       1       3      5
6       7          france     1       1       2      4
7       8           china     1       1       1      3
8       9      azerbaijan     1       0       1      2
9      10          turkey     1       0       0      1
10     11   united states     0       2       5      7
11     12         ukraine     0       2       2      4
12     13      kazakhstan     0       1       2      3
13     14          canada     0       1       1      2
14     14       lithuania     0       1       1      2
15     14        mongolia     0       1       1      2
16     14     south korea     0       1       1      2
17     18         denmark     0       1       0      1
18     18         germany     0       1       0      1
19     18          sweden     0       1       0      1
20     18      tajikistan     0       1       0      1
21     22      uzbekistan     0       0       3      3
22     23         albania     0       0       1      1
23     23         armenia     0       0       1      1
24     23         belarus     0       0       1      1
25     23  czech republic     0       0       1      1
26     23      kyrgyzstan     0       0       1      1
27     23          poland     0       0       1      1
28     23         romania     0       0       1      1
29     23          serbia     0       0       1      1
30     23       venezuela     0       0       1      1
31  total           total    21      21      42     84
