    round               player    position     nationality        college / junior / club team
0       1          mike rathje     defense          canada           medicine hat tigers (whl)
1       1       andrei nazarov   left wing          russia           hc dynamo moscow (russia)
2       3  alexander cherbayev  right wing          russia         voskresensk khimik (russia)
3       4           jan caloun  right wing  czechoslovakia        litvinov chemopetrol (czech)
4       5    marcus ragnarsson     defense          sweden      djurgardens if stockholm (sel)
5       6        michal sykora     defense  czechoslovakia                tacoma rockets (whl)
6       7       eric bellerose   left wing          canada  trois - riviã¨res draveurs (qmjhl)
7       8           ryan smith     defense          canada           brandon wheat kings (whl)
8       9          chris burns      goalie          canada                  u of denver (ncaa)
9      10      alex kholomeyev  right wing          russia               fort worth fire (chl)
10     11      victor ignatjev     defense          latvia            riga pardaugava (russia)
