     rank          nation  gold  silver  bronze  total
0       1     south korea     8       0       2     10
1       2            iran     2       2       1      5
2       3  chinese taipei     2       0       1      3
3       4   united states     1       2       3      6
4       5           spain     1       1       3      5
5       6           china     1       1       1      3
6       7          greece     1       0       2      3
7       8         croatia     0       2       1      3
8       9          france     0       2       0      2
9      10         germany     0       1       2      3
10     11          canada     0       1       1      2
11     11         denmark     0       1       1      1
12     13            cuba     0       1       0      1
13     13   great britain     0       1       0      1
14     13          mexico     0       1       0      1
15     16      azerbaijan     0       0       4      4
16     17        thailand     0       0       2      2
17     18       australia     0       0       1      1
18     18         austria     0       0       1      1
19     18         belarus     0       0       1      1
20     18      kazakhstan     0       0       1      1
21     18         morocco     0       0       1      1
22     18     philippines     0       0       1      1
23     18          turkey     0       0       1      1
24     18       venezuela     0       0       1      1
25  total           total    16      16      32     64
