        date       visitor  score          home       record
0    march 2    pittsburgh  4 - 5  philadelphia  39 - 20 - 6
1    march 5    pittsburgh  1 - 3    ny rangers  39 - 21 - 6
2    march 9        boston  2 - 3    pittsburgh  40 - 21 - 6
3   march 11   los angeles  3 - 4    pittsburgh  41 - 21 - 6
4   march 14    pittsburgh  3 - 2  ny islanders  42 - 21 - 6
5   march 18    washington  5 - 7    pittsburgh  43 - 21 - 6
6   march 20  philadelphia  3 - 9    pittsburgh  44 - 21 - 6
7   march 21    pittsburgh  6 - 4      edmonton  45 - 21 - 6
8   march 23      san jose  2 - 7    pittsburgh  46 - 21 - 6
9   march 25    new jersey  3 - 4    pittsburgh  47 - 21 - 6
10  march 27    pittsburgh  5 - 3        boston  48 - 21 - 6
11  march 28    pittsburgh  4 - 1    washington  49 - 21 - 6
12  march 30        ottawa  4 - 6    pittsburgh  50 - 21 - 6
