                                         race      length  class                          circuit                   date
0                       sunbank 24 at daytona    24 hours    all   daytona international speedway  february 2 february 3
1               löwenbräu grand prix of miami     3 hours  proto                 streets of miami            february 24
2               löwenbräu grand prix of miami  45 minutes    gto                 streets of miami            february 24
3               löwenbräu grand prix of miami  45 minutes    gtu                 streets of miami            february 24
4     coca - cola classic 12 hours of sebring    12 hours    all    sebring international raceway               march 23
5   atlanta journal - constitution grand prix      500 km    all                     road atlanta               april 14
6       los angeles times / nissan grand prix      600 km    all  riverside international raceway               april 28
7                nissan monterey triple crown      300 km  proto              laguna seca raceway                  may 5
8                nissan monterey triple crown      100 km     gt              laguna seca raceway                  may 5
9                     grand prix of charlotte      300 km     gt         charlotte motor speedway                 may 18
10                    grand prix of charlotte      500 km  proto         charlotte motor speedway                 may 19
11                            coca - cola 500     2 hours     gt                   lime rock park                 may 27
12                            coca - cola 500     2 hours  proto                   lime rock park                 may 27
13                          lumbermen 's 500k      300 km     gt     mid - ohio sports car course                 june 8
14                          lumbermen 's 500k      500 km  proto     mid - ohio sports car course                 june 9
15                          camel continental     3 hours     gt       watkins glen international                 july 6
16                          camel continental     3 hours  proto       watkins glen international                 july 6
17                       gi joe 's grand prix      200 km     gt   portland international raceway                july 28
18                       gi joe 's grand prix      300 km  proto   portland international raceway                july 28
19                 ford california grand prix      300 km  proto              sears point raceway               august 4
20                 ford california grand prix      100 km     gt              sears point raceway               august 4
21                          löwenbräu classic   500 miles    all                     road america              august 25
22                       grand prix at pocono      500 km    all                   pocono raceway            september 8
23             serengeti drivers new york 500      500 km    all       watkins glen international           september 29
24                  columbus ford dealers 500      1 hour     gt           columbus street course              october 5
25                  columbus ford dealers 500      500 km  proto           columbus street course              october 6
26                 eastern 3 hours of daytona     3 hours    all   daytona international speedway             december 1
