           year                         driver            constructor      location    report
0          1978                     niki lauda   brabham - alfa romeo    anderstorp    report
1          1977                jacques laffite         ligier - matra    anderstorp    report
2          1976                 jody scheckter         tyrrell - ford    anderstorp    report
3          1975                     niki lauda                ferrari    anderstorp    report
4          1974                 jody scheckter         tyrrell - ford    anderstorp    report
5          1973                    denny hulme         mclaren - ford    anderstorp    report
6   1972 - 1968                       not held               not held      not held  not held
7          1967                 jackie stewart       matra - cosworth     karlskoga    report
8   1966 - 1958                       not held               not held      not held  not held
9          1957       jean behra stirling moss               maserati  kristianstad    report
10         1956  phil hill maurice trintignant                ferrari  kristianstad    report
11  1955 - 1954                       not held               not held      not held  not held
12         1953                  erik lundgren             el special     skarpnäck    report
13         1952                gunnar carlsson  mercury ardun special     skarpnäck    report
14  1951 - 1950                       not held               not held      not held  not held
15         1949                         b bira               maserati     skarpnäck    report
16  1948 - 1934                       not held               not held      not held  not held
17         1933                 antonio brivio             alfa romeo    norra vram    report
