   place                       player           country  score  to par
0      1                  tiger woods     united states     67       5
1      2           pádraig harrington           ireland     68       4
2     t3               robert allenby         australia     69       3
3     t3                mathew goggin         australia     69       3
4     t3                 hunter mahan     united states     69       3
5     t3                álvaro quirós             spain     69       3
6     t3                  vijay singh              fiji     69       3
7     t3                   david toms     united states     69       3
8     t9              michael bradley     united states     70       2
9     t9                    ben crane     united states     70       2
10    t9  gonzalo fernández - castaño             spain     70       2
11    t9                  paul goydos     united states     70       2
12    t9               søren kjeldsen           denmark     70       2
13    t9              graeme mcdowell  northern ireland     70       2
14    t9             thongchai jaidee          thailand     70       2
15    t9                 lee westwood           england     70       2
