   round  pick  overall             name          position                college
0      1    20       20  steve broussard      running back       washington state
1      2     2       27    darion conner        linebacker          jackson state
2      3     2       55   oliver barnett     defensive end               kentucky
3      5    12      121   reggie redding  offensive tackle  cal state - fullerton
4      6     2      139     mike pringle      running back  cal state - fullerton
5      8     2      195        tory epps  defensive tackle          memphis state
6      9     2      222   darrell jordan        linebacker       northern arizona
7     10     2      250     donnie salum        linebacker                arizona
8     11     2      278    chris ellison    defensive back                houston
9     12     1      305   shawn mccarthy            punter                 purdue
