    heat  lane                         name         country      mark
0      1     6                olesya zykina          russia     51.96
1      1     4           moushaumi robinson   united states     52.45
2      1     3            makelesi batimala            fiji  54.02 pb
3      1     1              nikolett listar         hungary     55.37
4      1     2               martina xuereb           malta  57.62 nr
5      1     5                moya thompson         jamaica       dnf
6      2     5             natalya nazarova          russia     52.40
7      2     3           antonina yefremova         ukraine     52.64
8      2     6               shareese woods   united states     52.65
9      2     4               zuzana hejnová  czech republic     53.04
10     2     1              racheal nachula          zambia  53.52 nr
11     2     2                 vera barbosa      cape verde     57.55
12     3     6              amantle montsho        botswana  52.96 pb
13     3     2              angela morosanu         romania  53.32 sb
14     3     5  cxhristy ekpukhon ihunaegbo         nigeria     53.34
15     3     3              nataliya pyhyda         ukraine     53.44
16     3     4          tsvetelina kirilova        bulgaria     53.66
17     3     1   sandrine thiébaud - kanqni            togo  54.02 sb
