     res         record         opponent                                    method                                         event  round   time                                  location
0    win  4 - 5 - 1 (1)  marcus vinicios       submission ( arm - triangle choke )                            hcf - crow 's nest      3   0:52                         gatineau , canada
1   loss  3 - 5 - 1 (1)     donnie liles                      submission (keylock)                                 ifl - chicago      1   3:24        chicago , illinois , united states
2   loss  3 - 4 - 1 (1)    antonio mckee                      decision (unanimous)                             ifl - los angeles      3   4:00  los angeles , california , united states
3   loss  3 - 3 - 1 (1)    roan carneiro                                  decision                                afc - brazil 1      3   5:00                   rio de janeiro , brazil
4   loss  3 - 2 - 1 (1)     luiz azeredo                           tko ( punches )                      bsf - brazil super fight      1   1:26                     porto alegre , brazil
5     nc  3 - 1 - 1 (1)     haroldo bunn  no contest (fighters fell from the ring)                                      k - nock      1   2:40                   rio de janeiro , brazil
6   loss      3 - 1 - 1    tony fryklund                           tko ( punches )                                      ufc 37.5      2   3:34        las vegas , nevada , united states
7    win      3 - 0 - 1        joe merit                      decision (unanimous)                     uw - battle for the belts      3   5:00       fridley , minnesota , united states
8   draw      2 - 0 - 1   roman roytberg                                      draw                        wef 8 - goin' platinum      4   3:00            rome , georgia , united states
9    win          2 - 0     erick vianna                                  decision  ivtcg - internacional vale tudo campo grande      1  n / a               mato grosso do sul , brazil
10   win          1 - 0       paulo arum                                       tko                      bvtf - circuit of fights      1  n / a                         campinas , brazil
