                   date    tournament     surface              partner                          opponent in the final                      score
0    november 21 , 1999  pattaya city        hard         åsa carlsson        evgenia koulikovskaya patricia wartusch              6 - 1 , 6 - 4
1     january 16 , 2000        hobart        hard          rita grande                     kim clijsters alicia molik      6 - 2 , 2 - 6 , 6 - 3
2    february 18 , 2001          nice  carpet (i)  anne - gaëlle sidot                   kimberly po nathalie tauziat      1 - 6 , 6 - 2 , 6 - 0
3       april 21 , 2002      budapest        clay    catherine barclay                    elena bovina zsófia gubacsi      4 - 6 , 6 - 3 , 6 - 3
4     january 12 , 2003      canberra        hard      tathiana garbin                    dája bedáňová dinara safina      6 - 3 , 3 - 6 , 6 - 4
5        march 2 , 2003      acapulco        clay         åsa svensson                petra mandula patricia wartusch              6 - 3 , 6 - 1
6   september 21 , 2003      shanghai        hard         nicole pratt                ai sugiyama tamarine tanasugarn              6 - 3 , 6 - 3
7       april 11 , 2004    casablanca        clay       marion bartoli                 els callens katarina srebotnik              6 - 4 , 6 - 2
8          may 8 , 2005         rabat        clay     barbora strýcová  lourdes domínguez lino nuria llagostera vives  3 - 6 , 7 - 6 (6) , 7 - 5
9         may 15 , 2005        prague        clay         nicole pratt               jelena kostanić barbora strýcová  6 - 7 (6) , 6 - 4 , 6 - 4
10     august 14 , 2005     stockholm        hard   katarina srebotnik                  eva birnerová mara santangelo              6 - 4 , 6 - 3
11     august 31 , 2005      budapest        clay   katarina srebotnik           lourdes domínguez lino marta marrero      6 - 1 , 3 - 6 , 6 - 2
12     october 9 , 2005      tashkent        hard  maria elena camerin          anastasia rodionova galina voskoboeva              6 - 3 , 6 - 0
13    october 30 , 2005       hasselt    hard (i)   katarina srebotnik                michaëlla krajicek ágnes szávay              6 - 3 , 6 - 4
14    january 13 , 2006        hobart        hard         nicole pratt                   jill craybas jelena kostanić              6 - 2 , 6 - 1
15   february 12 , 2006         paris  carpet (i)        květa peschke                       cara black rennae stubbs          7 - 6 (5) , 6 - 4
