    year                   entrant         chassis                         engine  pts
0   1981      osella squadra corse     osella fa1b           ford cosworth dfv v8    0
1   1983      osella squadra corse     osella fa1d           ford cosworth dfv v8    0
2   1983      osella squadra corse     osella fa1e                 alfa romeo v12    0
3   1984      osella squadra corse     osella fa1f          alfa romeo v8 (t / c)    2
4   1985      osella squadra corse     osella fa1f          alfa romeo v8 (t / c)    0
5   1985      osella squadra corse    osella fa1 g          alfa romeo v8 (t / c)    0
6   1985  toleman group motorsport   toleman tg185      hart straight - 4 (t / c)    0
7   1986      osella squadra corse     osella fa1f          alfa romeo v8 (t / c)    0
8   1986      osella squadra corse     osella fa1h          alfa romeo v8 (t / c)    0
9   1986      osella squadra corse    osella fa1 g          alfa romeo v8 (t / c)    0
10  1987               ligier loto    ligier js29b  megatron straight - 4 (t / c)    0
11  1987               ligier loto    ligier js29c  megatron straight - 4 (t / c)    0
12  1988                  zakspeed    zakspeed 881  zakspeed straight - 4 (t / c)    0
13  1988                  zakspeed   zakspeed 881b  zakspeed straight - 4 (t / c)    0
14  1989      osella squadra corse  osella fa1 m89           ford cosworth dfr v8    0
