                     driver         constructor  laps    time / retired  grid
0        juan pablo montoya      williams - bmw    67       1:28:48.769     1
1           david coulthard  mclaren - mercedes    67   + 1:05.459 secs    10
2              jarno trulli             renault    67   + 1:09.060 secs     4
3           fernando alonso             renault    67   + 1:09.344 secs     8
4             olivier panis              toyota    66           + 1 lap     7
5        cristiano da matta              toyota    66           + 1 lap     9
6        michael schumacher             ferrari    66           + 1 lap     6
7             jenson button         bar - honda    66           + 1 lap    17
8        jacques villeneuve         bar - honda    65          + 2 laps    13
9             nick heidfeld   sauber - petronas    65          + 2 laps    15
10              mark webber   jaguar - cosworth    64          accident    11
11            nicolas kiesa  minardi - cosworth    62          + 5 laps    20
12     giancarlo fisichella       jordan - ford    60            engine    12
13           jos verstappen  minardi - cosworth    23        hydraulics    19
14            justin wilson   jaguar - cosworth     6           gearbox    16
15          ralf schumacher      williams - bmw     1  collision damage     2
16  heinz - harald frentzen   sauber - petronas     1  collision damage    14
17       rubens barrichello             ferrari     0         collision     3
18           kimi räikkönen  mclaren - mercedes     0         collision     5
19             ralph firman       jordan - ford     0         collision    18
