    rank                  nation  gold  silver  bronze  total
0      1                   japan     4       3       4     11
1      2                  france     3       4       1      8
2      3             south korea     3       0       6      9
3      4                   china     2       1       1      4
4      5              uzbekistan     2       0       0      2
5      6             north korea     1       3       0      4
6      7                 hungary     1       0       2      3
7      8                   spain     0       1       3      4
8      9                  brazil     0       1       2      3
9     10                    cuba     0       1       1      2
10    10                   italy     0       1       1      2
11    12                  canada     0       1       0      1
12    13                  russia     0       0       2      2
13    14                 armenia     0       0       1      1
14    14  bosnia and herzegovina     0       0       1      1
15    14                 germany     0       0       1      1
16    14                mongolia     0       0       1      1
17    14             netherlands     0       0       1      1
18    14   serbia and montenegro     0       0       1      1
19    14                slovakia     0       0       1      1
20    14          chinese taipei     0       0       1      1
21    14                 ukraine     0       0       1      1
