   division                         team              city                   home arena  capacity  joined nt / et
0     north                 oulun kärpät              oulu         oulun energia areena      6614            2006
1     north              eisbären berlin            berlin                     o2 world     14200            2010
2     north            red bull salzburg          salzburg            eisarena salzburg      3600            2010
3     north                     luleå hf             luleå                   coop arena      6200            2011
4     north                  kometa brno              brno                  kajot arena      7200            2011
5     north  mountfield české budějovice  české budějovice                 budvar arena      6421            2011
6     north                     hc plzeň             plzeň                    čez aréna      8420            2011
7     north             hamburg freezers           hamburg                     o2 world     12947            2012
8     south                linköpings hc         linköping               cloetta center      8500            2006
9     south                         hv71         jönköping               kinnarps arena      7038            2008
10    south                 sparta praha            prague               tipsport arena     13150            2010
11    south              piráti chomutov          chomutov  multifunkční aréna chomutov      5250            2012
12    south                        kalpa            kuopio             kuopion jäähalli      5225            2011
13    south            slovan bratislava        bratislava               slovnaft arena     10000            2011
14    south          upc vienna capitals            vienna      albert schultz eishalle      7000            2011
15    south                          jyp         jyväskylä            synergia - areena      4628            2012
16     east                          tps             turku                     hk arena     11820            2006
17     east                      tappara           tampere             hakametsä areena      7800            2006
18     east               djurgårdens if         stockholm                        hovet      8094            2006
19     east                      sc bern              bern          postfinance - arena     17131            2010
20     east           bílí tygři liberec           liberec               tipsport arena      7500            2011
21     east    čsob pojišťovna pardubice         pardubice                    čez aréna     10194            2011
22     east                    brynäs if             gävle                läkerol arena      8585            2012
23     east       hc fribourg - gottéron          fribourg                    bcf arena      6900            2012
24     west                 färjestad bk          karlstad          löfbergs lila arena      8647            2006
25     west             frölunda indians        gothenburg                 scandinavium     12044            2006
26     west                         hifk          helsinki            helsinki ice hall      8200            2006
27     west                      jokerit          helsinki              hartwall areena     13349            2008
28     west                    zsc lions            zurich                hallenstadion     10700            2010
29     west               adler mannheim          mannheim                    sap arena     10600            2010
30     west               erc ingolstadt        ingolstadt                 saturn arena      4815            2012
31     west                       ev zug               zug                bossard arena      7015            2012
