       res   record                opponent                         method                                          event  round   time                                 location
0      win  18 - 12          diego gonzalez           decision (unanimous)               golden ring - wallberg vs prazak      3   5:00                       stockholm , sweden
1     loss  17 - 12            marcus davis           decision (unanimous)                           superior challenge 8      3   5:00                           malmö , sweden
2     loss  17 - 11          cathal pendred           decision (unanimous)                                        cwfc 47      3   5:00                         dublin , ireland
3      win  17 - 10             edgar dayan                  tko (punches)                           mma against dengue 2      1   1:19                  rio de janeiro , brazil
4     loss  16 - 10           flavio alvaro               decision (split)                             mma against dengue      3   5:00                  rio de janeiro , brazil
5   y loss   16 - 9           daniel acácio                dq (overturned)                           superior challenge 6      3   5:00                       stockholm , sweden
6   y loss   16 - 8            tommy depret  submission (guillotine choke)                                united glory 12      1   0:36                  amsterdam , netherlands
7    y win   16 - 7          musa khamanaev                  tko (punches)  m - 1 selection 2010 - western europe round 3      2   1:57                       helsinki , finland
8    y win   15 - 7           ville räsänen                  tko (punches)                           helsinki fight night      1   3:06                       helsinki , finland
9    y win   14 - 7          ufuk isgusarer           decision (unanimous)                               upcoming glory 5      5   5:00                   deventer , netherlands
10  y loss   13 - 7              mark bocek  submission (rear naked choke)                                         ufc 97      1   4:57               montreal , quebec , canada
11   y win   13 - 6            jess liaudin           decision (unanimous)                                         ufc 89      3   5:00                     birmingham , england
12  y loss   12 - 6           diego sanchez           submission (strikes)                                         ufc 82      1   4:43          columbus , ohio , united states
13     win   12 - 5            nikola matic                            tko                      lotr - schilt vs guelmino      1  n / a                        belgrade , serbia
14   y win   11 - 5       lubormir roumenov           decision (unanimous)                             ff 9 - finnfight 9      2  n / a                          turku , finland
15  x loss   10 - 5  riggs mitsuhiro ishida           decision (unanimous)                               pride bushido 13      2   5:00              yokohama , kanagawa , japan
16  x loss   10 - 4             phil norman           decision (unanimous)                                   cage rage 17      3   5:00                         london , england
17   x win   10 - 3            steve dawson                             ko                          cwfc - strike force 5      1   0:50                       coventry , england
18   x win    9 - 3       josenildo ramarho  submission (rear naked choke)                          cwfc - strike force 3      1   4:52                       coventry , england
19  x loss    8 - 3         shiko yamashita            decision (majority)           shooto - 4 / 23 in hakata star lanes      3   5:00                 hakata , fukuoka , japan
20   x win    8 - 2          patrick vallee            submission (armbar)                  shooto sweden - second impact      1   3:30                       stockholm , sweden
21   x win    7 - 2             tom haddock                             ko                           fn 2 - fight night 2      1   1:42               belfast , northern ireland
22   x win    6 - 2       valdas pocevičius                       decision              shooto sweden - initial collision      3   5:00                       stockholm , sweden
23  x loss    5 - 2           ryuta sakurai           decision (unanimous)               shooto - 7 / 16 in korakuen hall      3   5:00                            tokyo , japan
24   x win    5 - 1    sigitas antanavicius                  tko (strikes)          shooto finland - capital punishment 2      1   1:57                       helsinki , finland
25   x win    4 - 1        charles mccarthy           submission (strikes)      afc 7 - absolute fighting championships 7      1   3:33  ft lauderdale , florida , united states
26   x win    3 - 1            kimmo nurkse                     submission                             ff 7 - finnfight 7      1   1:58                          turku , finland
27   x win    2 - 1           joni kyllonen           decision (unanimous)            shooto finland - capital punishment      2   5:00                       helsinki , finland
28   x win    1 - 1          kai rintakorpi           submission (punches)                      shooto finland - cold war      1   2:34                          turku , finland
29  x loss    0 - 1             arben lafti                       decision                             ff 5 - finnfight 5      2   5:00                          turku , finland
