                          title                 composer (s)                       guest performer       producer (s)  time
0                      the path            l manson e greene                             black ice  eric booty greene  3:04
1                 the ugly show            l manson e greene                             black ice  eric booty greene  5:49
2           a dream transferred            l manson e greene                             black ice  eric booty greene  3:08
3                  lone soldier     l manson e greene e bass                  black ice chinahblac  eric booty greene  4:00
4                    takeyatime  l manson e greene t johnson                       black ice musiq  eric booty greene  4:48
5                   nice2 meetu    l manson e greene v roane                           black ice v  eric booty greene  2:50
6                  hoodwatch!!!            l manson e greene                             black ice  eric booty greene  4:03
7                    front page            l manson e greene                             black ice  eric booty greene  4:22
8   rain , hail , sleet or snow     l manson e greene h hill                      black ice h hill  eric booty greene  4:09
9              the beast within     l manson e greene h hill                      black ice h hill  eric booty greene  3:58
10                        shine  l manson e greene n stewart  black ice natalie stewart of floetry  eric booty greene  2:56
11                     the real            l manson e greene                             black ice  eric booty greene  5:49
