     rank          nation  gold  silver  bronze  total
0       1          russia     6       5       5     16
1       2           japan     6       0       1      7
2       3         germany     4       0       2      6
3       4            cuba     3       2       0      5
4       5          turkey     2       1       0      3
5       6        bulgaria     1       1       2      4
6       6            iran     1       1       2      4
7       8          poland     1       1       1      3
8       9         moldova     1       1       0      2
9      10         austria     1       0       0      1
10     10          canada     1       0       0      1
11     10      kazakhstan     1       0       0      1
12     10          norway     1       0       0      1
13     14          france     0       5       2      7
14     15   united states     0       3       2      5
15     16      azerbaijan     0       3       0      3
16     17         belarus     0       2       2      4
17     18         ukraine     0       1       4      5
18     19         georgia     0       1       1      2
19     20         finland     0       1       0      1
20     20     south korea     0       1       0      1
21     22          sweden     0       0       2      2
22     23  czech republic     0       0       1      1
23     23           italy     0       0       1      1
24     23      kyrgyzstan     0       0       1      1
25  total           total    29      29      29     87
