   district                 incumbent       party  elected                   status                                            opponent
0    texas1               jim chapman  democratic     1985             re - elected         jim chapman (d) 61.0% hamp hodges (r) 39.0%
1    texas2            charlie wilson  democratic     1972             re - elected   charlie wilson (d) 55.6% donna peterson (r) 44.4%
2    texas3            steve bartlett  republican     1982             re - elected  steve bartlett (r) 99.6% noel kopala (i - wi) 0.4%
3    texas4                ralph hall  democratic     1980             re - elected     ralph hall (d) 99.6% tim j mccord (i - wi) 0.4%
4    texas7               bill archer  republican     1970             re - elected                           bill archer (r) unopposed
5    texas8               jack fields  republican     1980             re - elected                           jack fields (r) unopposed
6    texas9               jack brooks  democratic     1952             re - elected        jack brooks (d) 57.7% maury meyers (r) 42.3%
7   texas11              marvin leath  democratic     1978  retired democratic hold         chet edwards (d) 53.5% hugh shine (r) 46.5%
8   texas12                pete geren  democratic     1989             re - elected          pete geren (d) 71.3% mike mcginn (r) 28.7%
9   texas14             greg laughlin  democratic     1988             re - elected          greg laughlin (d) 54.3% joe dial (r) 45.7%
10  texas15          kika de la garza  democratic     1964             re - elected                      kika de la garza (d) unopposed
11  texas17          charles stenholm  democratic     1978             re - elected                      charles stenholm (d) unopposed
12  texas18  craig anthony washington  democratic     1989             re - elected                  craig anthony washington (d) 99.6%
13  texas19             larry combest  republican     1984             re - elected                         larry combest (r) unopposed
14  texas20          henry b gonzalez  democratic     1960             re - elected                      henry b gonzalez (d) unopposed
15  texas22                 tom delay  republican     1984             re - elected        tom delay (r) 71.2% bruce director (d) 28.8%
16  texas24              martin frost  democratic     1978             re - elected                          martin frost (d) unopposed
17  texas25         michael a andrews  democratic     1982             re - elected                     michael a andrews (d) unopposed
18  texas26                dick armey  republican     1984             re - elected     dick armey (r) 70.4% john wayne caton (d) 29.6%
