    round  pick  overall              name          position       college
0       1     5        5     curtis dickey      running back     texas a&m
1       1    24       24  derrick hatchett        cornerback         texas
2       2     4       32     ray donaldson            center       georgia
3       2    23       51         tim foley  offensive tackle    notre dame
4       4     5       88        ray butler     wide receiver           usc
5       6     6      144       chris foote            center           usc
6       7     5      170       wes roberts     defensive end           tcu
7       8     2      195        ken walter  offensive tackle    texas tech
8       9     6      227       mark bright      running back        temple
9      10     5      254     larry stewart  offensive tackle      maryland
10     11     3      280        ed whitley         tight end  kansas state
11     12     6      311     randy bielski       placekicker        towson
12     12    19      324       marvin sims          fullback       clemson
