   frequency  call sign                           name                                            format                              owner
0    88.7 fm       kfbn                    heaven 88.7                                         christian               fargo baptist church
1    90.3 fm       kccd   minnesota public radio / npr                                       news / talk             minnesota public radio
2    91.1 fm       kccm   minnesota public radio / npr                                         classical             minnesota public radio
3    91.9 fm       kdsu           prairie public / npr                           adult album alternative      north dakota state university
4    92.7 fm       kzdr                  92.7 the bone                                       active rock                         mediactive
5    93.7 fm  wday - fm                            y94                                      top 40 (chr)             radio fargo - moorhead
6    95.1 fm       kbvb                      bob 95 fm                                           country             radio fargo - moorhead
7    95.9 fm  kxbq - lp                      dive 95.9                                       alternative               women 's care clinic
8    96.3 fm  knds - lp  thunderradio radio free fargo                                           college      north dakota state university
9    97.9 fm  kfnw - fm                      life 97.9                      contemporary christian music               northwestern college
10   98.7 fm       klta                       big 98.7                                         adult chr                 triad broadcasting
11   99.3 fm     k257ep                       k - love  contemporary christian music ( kklq translator )       educational media foundation
12   99.9 fm  kvox - fm                    froggy 99.9                                           country                 triad broadcasting
13  100.7 fm       kklq                       k - love                      contemporary christian music       educational media foundation
14  101.9 fm       krwk                  101.9 talk fm                                              talk             radio fargo - moorhead
15  103.3 fm       kzcr                        z 103.3                                        rock / aaa                    jerry papenfuss
16  103.9 fm       kvmi                103.9 the truck                                           country          vision media incorporated
17  104.1 fm       kbot                 104.1 the wave                                adult contemporary              leighton broadcasting
18  104.7 fm       kmjo               104.7 popster fm                                        adult hits             radio fargo - moorhead
19  105.1 fm       kqwb                        q 105.1                                       active rock                 triad broadcasting
20  106.1 fm  kqlx - fm                  thunder 106.1                                   classic country  great plains integrated marketing
21  106.5 fm       krjb                     krjb 106.5                                           country                   r&j broadcasting
22  106.9 fm       kegk                    eagle 106.9                                      classic hits  great plains integrated marketing
23  107.9 fm       kpfx                  107.9 the fox                                      classic rock                 triad broadcasting
