  hull number             name                      builder         laid down         launched         completed
0      ca 122   ussoregon city              bethlehem steel      8 april 1944      9 june 1945  16 february 1946
1      ca 123        ussalbany              bethlehem steel        6 mar 1944      30 jun 1945       11 jun 1946
2    ca - 124     ussrochester              bethlehem steel       29 may 1944   28 august 1945  20 december 1946
3    ca - 125   ussnorthampton              bethlehem steel    31 august 1944  27 january 1951      7 march 1953
4    ca - 126    uss cambridge              bethlehem steel  16 december 1944            n / a             n / a
5    ca - 127   uss bridgeport              bethlehem steel   13 january 1945            n / a             n / a
6    ca - 128  uss kansas city              bethlehem steel             n / a            n / a             n / a
7    ca - 129        uss tulsa              bethlehem steel             n / a            n / a             n / a
8    ca - 137      uss norfolk  philadelphia naval shipyard             n / a            n / a             n / a
9    ca - 138     uss scranton  philadelphia naval shipyard             n / a            n / a             n / a
