    round  pick           player          position                   college
0       1    16    ronnie harmon      running back                      iowa
1       1    20     will wolford  offensive tackle                vanderbilt
2       3    77   leonard burton            center            south carolina
3       5   111       carl byrum      running back  mississippi valley state
4       7   168     bob williams         tight end                penn state
5       7   178        mark pike        linebacker              georgia tech
6       7   180      butch rolle         tight end            michigan state
7       8   202    tony furjanic        linebacker                notre dame
8       9   222     reggie bynum     wide receiver              oregon state
9      10   251  guy teafatiller  defensive tackle                  illinois
10     11   278  tony garbarczyk  defensive tackle               wake forest
11     11   282       billy witt     defensive end             north alabama
12     12   313    brian mcclure       quarterback             bowling green
13     12   331  derek christian        linebacker        west virginia tech
