    round  pick               name          position         school
0       1    18      mike sherrard     wide receiver           ucla
1       2    33       darryl clack      running back  arizona state
2       3    74         mark walen  defensive tackle           ucla
3       4   100       max zendejas       placekicker        arizona
4       6   140  thornton chandler         tight end        alabama
5       6   150      stan gelbaugh       quarterback       maryland
6       6   158       lloyd yancey   offensive guard         temple
7       7   185    johnny holloway     wide receiver         kansas
8       8   212     topper clemons      running back    wake forest
9       9   242        john ionata   offensive guard  florida state
10     10   269      bryan chester   offensive guard          texas
11     11   296          garth jax        linebacker  florida state
12     12   307      chris duliban        linebacker          texas
13     12   322         tony flack    defensive back        georgia
