                                     college name                    location                  district                           affiliation       estd
0                       thanjavur medical college                   thanjavur        thanjavur district  tamil nadu dr mgr medical university       1958
1   madras medical college and research institute         park town , chennai          chennai district  tamil nadu dr mgr medical university       1835
2                         stanley medical college         royapuram , chennai          chennai district  tamil nadu dr mgr medical university       1938
3              government kilpauk medical college   chetput (chennai) chennai          chennai district  tamil nadu dr mgr medical university       1960
4                    chengalpattu medical college                chengalpattu      kanchipuram district  tamil nadu dr mgr medical university       1965
5                         madurai medical college                     madurai          madurai district  tamil nadu dr mgr medical university       1954
6                      coimbatore medical college                  coimbatore                coimbatore  tamil nadu dr mgr medical university       1966
7                     tirunelveli medical college                 tirunelveli      tirunelveli district  tamil nadu dr mgr medical university  july 1966
8            mohan kumaramangalam medical college          salem , tamil nadu            salem district  tamil nadu dr mgr medical university       1990
9       kapviswanatham government medical college  tiruchirappalli tamil nadu  tiruchirappalli district  tamil nadu dr mgr medical university       1929
10                    thoothukudi medical college                 thoothukudi               thoothukudi  tamil nadu dr mgr medical university       1982
11             government vellore medical college                     bagayam                   vellore  tamil nadu dr mgr medical university       2005
12         kanyakumari government medical college               kanniyakumari             kanniyakumari  tamil nadu dr mgr medical university       1965
13               government theni medical college                       theni                     theni  tamil nadu dr mgr medical university       2006
14          government dharmapuri medical college                  coimbatore                coimbatore  tamil nadu dr mgr medical university       1982
15          government villupuram medical college                  villupuram                villupuram  tamil nadu dr mgr medical university       1965
16          government thiruvarur medical college                  thiruvarur                thiruvarur  tamil nadu dr mgr medical university       2007
17           government sivgangai medical college                   sivgangai                 sivgangai  tamil nadu dr mgr medical university   proposed
