    round  pick            player          position         college
0       1    21     nate clements        cornerback      ohio state
1       2    46     aaron schobel     defensive end             tcu
2       2    58      travis henry      running back       tennessee
3       3    76       ron edwards  defensive tackle       texas a&m
4       3    95    jonas jennings            tackle         georgia
5       4   110     brandon spoon        linebacker  north carolina
6       5   144  marques sullivan            tackle        illinois
7       6   178       tony driver       free safety      notre dame
8       6   195       dan o'leary         tight end      notre dame
9       6   196  jimmy r williams        cornerback      vanderbilt
10      7   214    reggie germany     wide receiver      ohio state
11      7   238  tyrone robertson  defensive tackle        hinds cc
