                                     rocket             country            family  launches  successes  failures  partial failures
0                                  ariane 5              europe            ariane         6          6         0                 0
1                                   atlas v       united states             atlas         4          4         0                 0
2                                  delta ii       united states             delta         1          1         0                 0
3                                  delta iv       united states             delta         3          3         0                 0
4                                     dnepr             ukraine            r - 36         3          3         0                 0
5                                  falcon 9       united states            falcon         2          2         0                 0
6   geosynchronous satellite launch vehicle               india              gslv         2          0         2                 0
7                                   h - iia               japan            h - ii         2          2         0                 0
8                                    kosmos              russia   r - 12 / r - 14         1          1         0                 0
9                              long march 2               china        long march         3          3         0                 0
10                             long march 3               china        long march         8          8         0                 0
11                             long march 4               china        long march         4          4         0                 0
12                              minotaur iv       united states          minotaur         2          2         0                 0
13                                  molniya              russia             r - 7         1          1         0                 0
14                                     naro  russia south korea            angara         1          0         1                 0
15                                   proton              russia  universal rocket        12         11         1                 0
16           polar satellite launch vehicle               india              pslv         1          1         0                 0
17                                   shavit              israel           jericho         1          1         0                 0
18                                    soyuz              russia             r - 7        12         12         0                 0
19                            space shuttle       united states     space shuttle         3          3         0                 0
20                                 ur - 100              russia  universal rocket         2          2         0                 0
