   pos  car         driver       make                              team
0    1   33   ron hornaday  chevrolet        kevin harvick incorporated
1    2   99   erik darnell       ford               roush fenway racing
2    3   88   matt crafton  chevrolet                  thorsport racing
3    4   14  rick crawford       ford                 circle bar racing
4    5   11    david starr     toyota                  red horse racing
5    6    2   jack sprague  chevrolet        kevin harvick incorporated
6    7    5   mike skinner     toyota                 bill davis racing
7    8    9     bobby east       ford               roush fenway racing
8    9   51     shane sieg     toyota          billy ballew motorsports
9   10    4  stacy compton      dodge  bobby hamilton racing - virginia
