              year  2010  2009  2008  2005  2000
0         shanghai     1     2     1     1     1
1          beijing     2     1     2     2     2
2          tianjin     3     3     3     3     3
3          jiangsu     4     4     5     6     6
4         zhejiang     5     5     4     4     4
5   inner mongolia     6     6     7    10    15
6        guangdong     7     7     6     5     5
7         liaoning     8     9     9     8     8
8         shandong     9     8     8     7     9
9           fujian    10    10    10     9     7
10           jilin    11    11    11    13    13
11           hebei    12    12    12    11    11
12           hubei    13    14    16    17    16
13       chongqing    14    13    15    16    17
14         shaanxi    15    16    18    20    23
15    heilongjiang    16    15    13    12    10
16         ningxia    17    17    19    22    21
17          shanxi    18    18    14    15    18
18        xinjiang    19    21    17    14    12
19           hunan    20    20    22    21    20
20           henan    21    19    20    18    19
21         qinghai    22    22    21    23    22
22          hainan    23    23    23    19    14
23         jiangxi    24    25    24    24    25
24         sichuan    25    24    25    25    24
25           anhui    26    26    27    27    26
26         guangxi    27    27    26    28    28
27           tibet    28    28    28    26    29
28           gansu    29    30    30    30    30
29          yunnan    30    29    29    29    27
30         guizhou    31    31    31    31    31
