       district           incumbent                  party  first elected                                           result                                candidates
0    virginia 1   robert rutherford  anti - administration           1793                                     re - elected  robert rutherford (dr) daniel morgan (f)
1    virginia 2        andrew moore  anti - administration           1789                                     re - elected                         andrew moore (dr)
2    virginia 4     francis preston  anti - administration           1793                                     re - elected      francis preston (dr) arthur campbell
3    virginia 5      george hancock   pro - administration           1793                                     re - elected                        george hancock (f)
4    virginia 9     william b giles  anti - administration           1790                                     re - elected                      william b giles (dr)
5   virginia 10   carter b harrison  anti - administration           1793                                     re - elected                    carter b harrison (dr)
6   virginia 11       josiah parker   pro - administration           1789                                     re - elected           josiah parker (f) robert cowper
7   virginia 12           john page  anti - administration           1789                                     re - elected                            john page (dr)
8   virginia 14      francis walker  anti - administration           1793             retired democratic - republican hold                      samuel j cabell (dr)
9   virginia 15  james madison , jr  anti - administration           1789                                     re - elected                   james madison , jr (dr)
10  virginia 16         anthony new  anti - administration           1793                                     re - elected                          anthony new (dr)
11  virginia 17   richard bland lee   pro - administration           1789  lost re - election democratic - republican gain  richard brent (dr) richard bland lee (p)
12  virginia 18       john nicholas  anti - administration           1793                                     re - elected                        john nicholas (dr)
