   date         sport               winner    score          loser
0  1992      football            england b    3 - 0       france b
1  1998      football            england b    4 - 1     russia - 2
2  2002      football              nigeria    1 - 0        jamaica
3  2004  rugby league            australia  32 - 16    new zealand
4  2005  rugby league          new zealand  42 - 26  great britain
5  2006      football            australia    1 - 1          ghana
6  2006      football  trinidad and tobago    2 - 0        iceland
7  2007      football              denmark    3 - 1      australia
8  2008      football            australia    2 - 2   south africa
9  2010      football          south korea    2 - 0  côte d'ivoire
