    rank         nation  gold  silver  bronze  total
0      1      australia     3       3       5     11
1      2         russia     3       3       2      8
2      3          italy     3       1       2      6
3      4  united states     2       0       0      2
4      5        germany     1       2       3      6
5      6    netherlands     1       2       0      3
6      7        belgium     1       0       0      1
7      7          spain     1       0       0      1
8      7      lithuania     1       0       0      1
9      7         norway     1       0       0      1
10     7       slovenia     1       0       0      1
11    12         france     0       2       2      4
12    13        denmark     0       1       1      2
13    13       portugal     0       1       1      2
14    15        hungary     0       1       0      1
15    15    switzerland     0       1       0      1
16    15        ukraine     0       1       0      1
17    18    new zealand     0       0       1      1
18    18   south africa     0       0       1      1
