                            conference                           regular season winner        conference player of the year                             conference tournament                       tournament venue (city)     tournament winner
0               atlantic 10 conference                                    st joseph 's                  david west , xavier     2001 atlantic 10 men 's basketball tournament  the spectrum ( philadelphia , pennsylvania )                temple
1                    big 12 conference                                      iowa state          jamaal tinsley , iowa state          2001 big 12 men 's basketball tournament       kemper arena ( kansas city , missouri )              oklahoma
2                   big sky conference                            cal state northridge  brian heinle , cal state northridge         2001 big sky men 's basketball tournament          matadome ( northridge , california )  cal state northridge
3        colonial athletic association                                        richmond          george evans , george mason             2001 caa men 's basketball tournament     richmond coliseum ( richmond , virginia )          george mason
4                       conference usa  cincinnati (american) southern miss (national)             steve logan , cincinnati  2001 conference usa men 's basketball tournament        freedom hall ( louisville , kentucky )             charlotte
5                           ivy league                                       princeton              craig austin , columbia                                     no tournament                                 no tournament         no tournament
6   metro atlantic athletic conference                          iona , siena & niagara             demond stewart , niagara            2001 maac men 's basketball tournament             hsbc arena ( buffalo , new york )                  iona
7            mid - american conference       kent state (east) central michigan (west)      david webber , central michigan             2001 mac men 's basketball tournament               gund arena ( cleveland , ohio )            kent state
8             mountain west conference                            byu , wyoming & utah                  mekeli wesley , byu             2001 mwc men 's basketball tournament   thomas & mack center ( las vegas , nevada )                   byu
9              pacific - 10 conference                                        stanford            sean lampley , california                                     no tournament                                 no tournament         no tournament
10                      patriot league                                      holy cross              tim szatko , holy cross  2001 patriot league men 's basketball tournament                                  campus sites            holy cross
11                 sun belt conference    western kentucky (east) south alabama (west)      chris marcus , western kentucky        2001 sun belt men 's basketball tournament          mitchell center ( mobile , alabama )      western kentucky
12   trans america athletic conference                                   georgia state        shernard long , georgia state            2001 taac men 's basketball tournament        gsu sports arena ( atlanta , georgia )         georgia state
