        outcome                     tournament     surface             partner                                 opponents                     score
0        winner                boca raton , us        hard    andrey kumantsov          brian battistone dann battistone             7 - 5 , 6 - 4
1   runner - up           mcallen , texas , us        hard     adam el mihdawy            ričardas berankis sergey betov             3 - 6 , 3 - 6
2        winner                boca raton , us        clay  tigran martirosyan          milan pokrajac aleksander slovic   6 - 4 , 6 - 7 (4 - 7) ,
3   runner - up                kraków , poland        clay     denys molchanov  martin emmrich hans podlipnik - castillo     4 - 6 , 6 - 7 (5 - 7)
4   runner - up                   glasgow , uk    hard (i)          daniel cox                chris eaton dominic inglot     0 - 6 , 6 - 7 (5 - 7)
5   runner - up   morocco tennis tour - tanger        clay       martin kližan              steve darcis dominik meffert           7 - 5 , 5 - 7 ,
6   runner - up         città di caltanissetta        clay       martin kližan            david marrero santiago ventura     6 - 7 (3 - 7) , 4 - 6
7        winner  open prévadiès saint - brieuc    clay (i)       david marrero            brian battistone ryler deheart           4 - 6 , 6 - 4 ,
8   runner - up                aberto de bahia        hard       martin kližan                  franco ferreiro andré sá             2 - 6 , 4 - 6
9   runner - up             são paulo , brazil        hard     thomas fabbiano                franco ferreiro andré ghem   7 - 6 (7 - 3) , 4 - 6 ,
10  runner - up            sporting challenger        clay       martin kližan             martin fischer philipp oswald             3 - 6 , 4 - 6
11       winner          volkswagen challenger  carpet (i)   laurynas grigelis          tomasz bednarek olivier charroin           7 - 5 , 4 - 6 ,
12       winner           challenger la manche    hard (i)   laurynas grigelis              dustin brown jonathan marray  4 - 6 , 7 - 6 (11 - 9) ,
13       winner           andijan , uzbekistan        hard      deniss pavlovs          vladyslav manafov yaraslau shyla             6 - 4 , 6 - 2
14  runner - up                    košice open        clay   andrei vasilevski         tomasz bednarek mateusz kowalczyk           6 - 2 , 5 - 6 ,
15       winner           trophée des alpilles        hard   laurynas grigelis  jordi marsé - vidri carles poch - gradin   6 - 7 (4 - 7) , 6 - 3 ,
16  runner - up                       ipp open        hard          jimmy wang                mikhail elgin igor zelenay   6 - 4 , 6 - 7 (0 - 7) ,
