    year              place                       gold                    silver                            bronze
0   1989  montecatini terme     roberta morara ( ita )    roberta pelosi ( ita )        anna maria bianchi ( ita )
1   1990             moscow        satu pusila ( fin )  elena shishirina ( urs )             audrey grosch ( usa )
2   1991              perth        satu pusila ( fin )       elena tkach ( urs )               deena julin ( usa )
3   1993          barcelona  frances strodtman ( usa )       deena julin ( usa )    anna maria di giovanni ( ita )
4   1994            fagnano        satu pusila ( fin )  elena shishirina ( rus )           svetlana demina ( rus )
5   1995            nicosia    deborah gelisio ( ita )       gema usieto ( esp )                  xiang xu ( chn )
6   1997               lima    deborah gelisio ( ita )     cynthia meyer ( can )  riitta - mari murtoniemi ( fin )
7   1998          barcelona    deborah gelisio ( ita )    kimberly rhode ( usa )              cindy gentry ( usa )
8   1999            tampere          pia julin ( fin )        pia hansen ( swe )             yoshiko miura ( jpn )
9   2001              cairo        yafei zhang ( chn )       yi chun lin ( tpe )               qingnian li ( chn )
10  2002              lahti        yi chun lin ( tpe )     jing lin wang ( chn )            hye kyoung son ( kor )
11  2003            nicosia   marã­a quintanal ( esp )         fang chen ( chn )             jing lin wang ( chn )
12  2005             lonato      jing lin wang ( chn )       qingnian li ( chn )            monica girotto ( ita )
13  2006             zagreb     hye kyoung son ( kor )        yuxiang li ( chn )                 bo na lee ( kor )
