   year (ceremony)              english title                         spanish title                                    director         result
0      1980 (53rd)        the latin immigrant                  el inmigrante latino                           gustavo nieto roa  not nominated
1      1984 (57th)         a man of principle  cóndores no entierran todos los días                            francisco norden  not nominated
2      1986 (59th)              a time to die                       tiempo de morir                            jorge alí triana  not nominated
3      1991 (64th)        confessing to laura                     confesión a laura                          jaime osorio gómez  not nominated
4      1994 (67th)  the strategy of the snail             la estrategia del caracol                              sergio cabrera  not nominated
5      1996 (69th)              oedipus mayor                         edipo alcalde                            jorge alí triana  not nominated
6      1997 (70th)                   the debt                              la deuda  manuel jose alvarez & nicolas buenaventura  not nominated
7      1998 (71st)            the rose seller                 la vendedora de rosas                              victor gaviria  not nominated
8      1999 (72nd)                   time out                      golpe de estadio                              sergio cabrera  not nominated
9      2001 (74th)  our lady of the assassins             la virgen de los sicarios                            barbet schroeder  not nominated
10     2005 (78th)          wandering shadows               la sombra del caminante                                 ciro guerra  not nominated
11     2006 (79th)              a ton of luck                  soñar no cuesta nada                              rodrigo triana  not nominated
12     2007 (80th)                    satanás                               satanás                                   andi baiz  not nominated
13     2008 (81st)                dog eat dog                      perro come perro                               carlos moreno  not nominated
14     2009 (82nd)          the wind journeys                 los viajes del viento                                 ciro guerra  not nominated
15     2010 (83rd)                  crab trap                el vuelco del cangrejo                            oscar ruiz navia  not nominated
16     2012 (85th)          the snitch cartel                el cartel de los sapos                               carlos moreno  not nominated
