     rank             nation  gold  silver  bronze  total
0       1  south korea (kor)     5       2       2      9
1       2     thailand (tha)     2       1       1      4
2       3        china (chn)     1       5       1      7
3       4     pakistan (pak)     1       1       4      6
4       5  philippines (phi)     1       0       3      4
5       6    indonesia (ina)     1       0       2      3
6       7        syria (syr)     1       0       0      1
7       8     mongolia (mgl)     0       1       4      5
8       9         iran (iri)     0       1       2      3
9      10        japan (jpn)     0       1       1      2
10     11        india (ind)     0       0       1      1
11     11         laos (lao)     0       0       1      1
12     11        nepal (nep)     0       0       1      1
13  total              total    12      12      23     47
