    rank  gold  silver  bronze  total
0      1     9       2       0     11
1      2     8       0       1      9
2      3     4       1       2      7
3      4     2       1       5      8
4      5     1       3       2      6
5      6     1       1       0      2
6      7     0       6       5     11
7      8     0       3       1      4
8      9     0       2       1      3
9     10     0       1       3      4
10    11     0       1       1      2
11    12     0       1       0      1
12    16     0       0       1      1
