   draw                         artist                     song  first vote  place
0     1                        deja vu         im a part of you        1485      7
1     2  kristīna zaharova feat julian  until you find a friend         862      9
2     3                sabīne berezina           if i only knew        5142      5
3     4             pirates of the sea        wolves of the sea       16818      1
4     5  peter garden & juris vizbulis              memory lane        1932      6
5     6                  funky drivers               summertime        1245      8
6     7                  triānas parks                  bye bye        5656      4
7     8             elizabete zagorska             take me home         599     10
8     9                          aisha  you really got me going        8021      3
9    10                  andris ērglis           broken lullaby       10751      2
