    pick             player    position    nationality                 nhl team   college / junior / club team
0     49          ron smith     defence         canada       new york islanders        cornwall royals (qmjhl)
1     50      don martineau  right wing         canada           atlanta flames  new westminster bruins (wchl)
2     51       ron homenuke  right wing         canada        vancouver canucks     calgary centennials (wchl)
3     52         john dobie     defence         canada        los angeles kings             regina pats (wchl)
4     53    rychard campeau     defence         canada           buffalo sabres        sorel eperviers (qmjhl)
5     54  claude st sauveur   left wing         canada  california golden seals     sherbrooke castors (qmjhl)
6     55         al macadam  right wing         canada      philadelphia flyers   charlottetown royals (majhl)
7     56        ron lalonde      centre         canada      pittsburgh penguins     peterborough petes (omjhl)
8     57       murray myers  right wing         canada           st louis blues        saskatoon blades (wchl)
9     58        danny gruen   left wing         canada        detroit red wings    thunder bay vulcans (tbjhl)
10    59       brian bowles     defence         canada      toronto maple leafs        cornwall royals (qmjhl)
11    60        tom thomson     defence         canada    minnesota north stars      toronto marlboros (omjhl)
12    61         tom peluso   left wing  united states      chicago black hawks    university of denver (wcha)
13    62      dave elenbaas  goaltender         canada       montreal canadiens      cornell university (ecac)
14    63        doug horbul   left wing         canada         new york rangers     calgary centennials (wchl)
15    64        les jackson   left wing         canada            boston bruins  new westminster bruins (wchl)
