   round  overall           player          position               college
0      1        6  richard seymour  defensive tackle               georgia
1      2       48       matt light  offensive tackle                purdue
2      3       86   brock williams        cornerback            notre dame
3      4       96   kenyatta jones  offensive tackle         south florida
4      4      119  jabari holloway         tight end            notre dame
5      5      163      hakim akbar            safety            washington
6      6      180      arther love         tight end  south carolina state
7      6      200    leonard myers        cornerback            miami (fl)
8      7      216     owen pochman            kicker                   byu
9      7      239       t j turner        linebacker        michigan state
