                   name         jewel                        species  gender                   jewel power                 attribute      birthday                        media debut                                         voice actor
0          ruby ( ルビー )          ruby                  japanese hare  female                       courage               magical red       july 25                               ep 1                                         ayaka saito
1      garnet ( ガーネット )        garnet                    persian cat  female                          love               magical red     january 8                               ep 1                                          aya hirano
2      sapphie ( サフィー )      sapphire  cavalier king charles spaniel  female                    friendship              magical blue   september 1                               ep 1                                       nozomi sasaki
3        diana ( ダイアナ )       diamond                       munchkin  female           dark magic charisma  magical black dark magic      april 20                               ep 4                                       rumi shishido
4            rin ( リン )       citrine                       parakeet  female                    prosperity               magical red   november 23                               ep 4                                       mayu hayakawa
5         chite ( カイト )     malachite           jack russell terrier    male                    assistance             magical green    december 4                               ep 5                                    miyuki sawashiro
6        prase ( プレーズ )   chrysoprase                     toy poodle  female                         study             magical green   february 14                               ep 6                                          ai iwamura
7          king ( キング )          onyx                 french bulldog    male                        health             magical black     august 10                               ep 7                                     hidenobu kiuchi
8          rald ( ラルド )       emerald                          panda    male                       harmony             magical green        may 17                               ep 8                                     mayumi tsuchiya
9            ryl ( リル )     red beryl                  miniature pig  female    mind and body purification               magical red      april 24                               ep 9                                       tomomi fujita
10         tour ( トール )    tourmaline             american shorthair    male                     adventure             magical green    october 13                              ep 10                                      junko takeuchi
11      fluola ( フローラ )      fluorite                          sheep  female             future prediction             magical green    january 17                              ep 11                                          aki kanada
12    peridot ( ペリドット )       peridot                       papillon  female             dream fulfillment             magical green      august 3                              ep 12                                          yuki kaida
13       kohaku ( コハク )         amber                      shiba inu    male  economic fortune improvement               magical red        june 5                              ep 14                                      junko minagawa
14          luna ( ルナ )     moonstone               netherland dwarf  female             charm improvement              magical blue        june 8                              ep 15                                       rumi shishido
15   nephrite ( ネフライト )      nephrite                    welsh corgi    male          teamwork and leading             magical green    february 1                              ep 16                                        megumi ozaki
16         yuku ( ユーク )       euclase                         beagle    male          intellect and vision              magical blue    november 3                              ep 17                                      hitomi yoshida
17         aqua ( アクア )    aquamarine                      clownfish    male                 calm reliever              magical blue      march 26                              ep 21                                   yakkun sakurazuka
18        kaiya ( カイヤ )       kyanite                    siamese cat  female                  independence              magical blue        may 15                              ep 24                                        kanako sakai
19        opal ( オパール )          opal                        unicorn  female        awakening and miracles              magical blue     october 3                              ep 26                                    miyuki sawashiro
20      titana ( チターナ )      titanite                       chipmunk    male                       balance               magical red  september 23                              ep 29                                               erika
21        sango ( サンゴ )         coral                      tabby cat  female                          luck               magical red       july 10                              ep 31  rei sakai (jewelpet) ai shimizu (jewelpet twinkle)
22         tata ( タータ )     turquoise                squirrel monkey    male                       courage             magical green   december 19                              ep 32                                      junko takeuchi
23          nix ( ニック )      sardonyx                         ferret    male                reconciliation               magical red     august 22                              ep 33                                     yuichi inokuchi
24       amelie ( アメリ )      amethyst             djungarian hamster  female                          bond              magical blue    february 9                              ep 34                                            aoi yūki
25        lapis ( ラピス )  lapis lazuli                   russian blue  female              illness recovery              magical blue  september 15                              ep 35                                      junko takeuchi
26         kris ( クリス )   chrysocolla            miniature dachshund    male               success in work             magical green        july 5                              ep 37                                          aki kanada
27            io ( イオ )        iolite                    holland lop    male                       refresh              magical blue   december 29                              ep 38                                       nozomi sasaki
28        labra ( ラブラ )   labradorite                     polar bear  female                      mischief             magical black   december 27                              ep 39                                    miyuki sawashiro
29       topaz ( トパーズ )         topaz              yorkshire terrier  female                    confidence              magical blue   november 12                              ep 42                                          aki kanada
30    brownie ( ブラウニー )  brown quartz                       hedgehog    male                   imagination               magical red    october 23                              ep 44                                          yui hatano
31     angela ( エンジェラ )     anhydrite                         alpaca  female                        solace             magical green      march 30  jpt ep 36 (jewel charm form only)                    aki toyosaki (jewelpet sunshine)
32  charlotte ( チャロット )      charoite                      honey bee  female            challenging spirit              magical blue       april 3                          jpt ep 46                                                mako
33     jasper ( ジャスパー )        jasper                        cheetah    male                       honesty               magical red   february 14            jpt ep 43 (end segment)                                                kenn
34         coal ( コール )          coal                       capybara    male                     endurance             magical black   september 6                          jpkd ep 3                                           yoji ueda
35    granite ( グラナイト )       granite                     white lion    male                      security             magical black    december 1                          jps ep 52                                      atsushi tamaru
36        rossa ( ローサ )     inca rose              ussuri brown bear  female                       passion               magical red       july 18                         jpkd ep 52                                           ai kayano
