    rank                nation  gold  silver  bronze  total
0      1              guernsey    40      38      29    107
1      2           isle of man    34      35      23     92
2      3                jersey    33      28      32     93
3      4               bermuda    16      16      14     46
4      5         faroe islands    14      11      20     45
5      6               gotland    12       6      12     30
6      7      shetland islands    10      14      22     46
7      8        cayman islands     7       6       5     18
8      9             gibraltar     7       5       4     16
9     10         isle of wight     4       6      14     24
10    11   ynys môn / anglesey     4       2       2      8
11    12                 åland     3       8       6     17
12    13              saaremaa     3       3       1      7
13    14                rhodes     3       2       2      7
14    15        orkney islands     2       3       5     10
15    16                  sark     1       3       1      5
16    17             greenland     1       2       3      6
17    18         western isles     0       1       5      6
18    19              alderney     0       1       2      3
19    20      falkland islands     0       0       0      0
20    20                 frøya     0       0       0      0
21    20                 hitra     0       0       0      0
22    20  prince edward island     0       0       0      0
23    20          saint helena     0       0       0      0
