            date           round         circuit     pole position         fastest lap     race winner  report
0    23 february           qatar          losail      fabien foret        fabien foret     broc parkes  report
1        2 march       australia  phillip island       andrew pitt        robbin harms     andrew pitt  report
2        6 april           spain        valencia       andrew pitt         broc parkes    joan lascorz  report
3       27 april     netherlands           assen       broc parkes  gianluca vizziello     andrew pitt  report
4         11 may           italy           monza       broc parkes        fabien foret    fabien foret  report
5        15 june         germany     nürburgring       broc parkes         broc parkes     andrew pitt  report
6        29 june      san marino          misano       broc parkes         broc parkes     andrew pitt  report
7        20 july  czech republic            brno       broc parkes         andrew pitt    jonathan rea  report
8       3 august   great britain    brands hatch  matthieu lagrive         andrew pitt    jonathan rea  report
9    7 september          europe  donington park  matthieu lagrive        josh brookes    josh brookes  report
10  21 september           italy      vallelunga       broc parkes         broc parkes    jonathan rea  report
11     5 october          france   magny - cours       broc parkes         broc parkes     andrew pitt  report
12    2 november        portugal        portimao    kenan sofuoğlu      kenan sofuoğlu  kenan sofuoğlu  report
