               states  males (%)  males rank  females (%)  females rank
0               india       12.1          14         16.0            15
1              punjab       30.3           1         37.5             1
2              kerala       24.3           2         34.0             2
3                 goa       20.8           3         27.0             3
4          tamil nadu       19.8           4         24.4             4
5      andhra pradesh       17.6           5         22.7            10
6              sikkim       17.3           6         21.0             8
7             mizoram       16.9           7         20.3            17
8    himachal pradesh       16.0           8         19.5            12
9         maharashtra       15.9           9         18.1            13
10            gujarat       15.4          10         17.7             7
11            haryana       14.4          11         17.6             6
12          karnataka       14.0          12         17.3             9
13            manipur       13.4          13         17.1            11
14        uttarakhand       11.4          15         14.8            14
15  arunachal pradesh       10.6          16         12.5            19
16      uttar pradesh        9.9          17         12.0            18
17  jammu and kashmir        8.7          18         11.1             5
18              bihar        8.5          19         10.5            29
19           nagaland        8.4          20         10.2            22
20          rajasthan        8.4          20          9.0            20
21          meghalaya        8.2          22          8.9            26
22             orissa        6.9          23          8.6            25
23              assam        6.7          24          7.8            21
24        chattisgarh        6.5          25          7.6            27
25        west bengal        6.1          26          7.1            16
26     madhya pradesh        5.4          27          6.7            23
27          jharkhand        5.3          28          5.9            28
