     n                           huckleberry hound          pixie and dixie                       yogi bear    air date                           credited animators
0    1  huckleberry hound meets wee willie (pilot)       cousin tex (pilot)  yogi bear 's big break (pilot)  1958.10.02                   kenneth muse , carlo vinci
1    2                         lion - hearted huck                judo jack            slumber party smarty  1958.10.09                kenneth muse , lewis marshall
2    3                              tricky trapper              kit kat kit                   pie - pirates  1958.10.16                   kenneth muse , michael lah
3    4                       sir huckleberry hound        jinks mice device                   big bad bully  1958.10.23  lewis marshall , kenneth muse , carlo vinci
4    5                         sheriff huckleberry     pistol packin pirate                foxy hound - dog  1958.10.30  kenneth muse , michael lah , lewis marshall
5    6                        rustler hustler huck           scaredycat dog          the brave little brave  1958.11.06  lewis marshall , kenneth muse , michael lah
6    7                              freeway patrol      little bird - mouse                  tally ho ho ho  1958.11.13  kenneth muse , lewis marshall , carlo vinci
7    8                      cock - a - doodle huck      jiggers… its jinks!                    high fly guy  1958.11.20   carlo vinci , lewis marshall , michael lah
8    9                             two corny crows  the ghost with the most                    baffled bear  1958.11.27                                 kenneth muse
9   11                                fireman huck             jinks junior                            -rr-  1958.12.11                kenneth muse , lewis marshall
10  13                                        -rr-         jinks the butler                 the buzzin bear  1958.12.25                   kenneth muse , carlo vinci
11  14                                 hookey daze      jinks flying carpet                            -rr-  1959.01.01                   carlo vinci , kenneth muse
12  15                             skeeter trouble                     -rr-                the runaway bear  1959.01.08                   carlo vinci , kenneth muse
13  16                                        -rr-              puppet pals                be my guest pest  1959.01.15                 lewis marshall , carlo vinci
14  17                   sheep - shape sheepherder        mark of the mouse                            -rr-  1959.01.22                                  carlo vinci
15  18                              barbecue hound                     -rr-                    duck in luck  1959.01.29                   kenneth muse , carlo vinci
16  19                                        -rr-              dinky jinks                bear on a picnic  1959.02.05                                  carlo vinci
17  20                                hokum smokum       hypnotize surprise                            -rr-  1959.02.12                 carlo vinci , lewis marshall
18  21                            bird house blues                     -rr-              prize fight fright  1959.02.19                   carlo vinci , kenneth muse
19  22                               postman panic                nice mice                     brainy bear  1959.02.26                   carlo vinci , kenneth muse
20  23                             ski champ chump     king - size surprise                 robin hood yogi  1959.03.05                lewis marshall , kenneth muse
21  24                             lion tamer huck            cat - nap cat                     daffy daddy  1959.03.12     michael lah , kenneth muse , carlo vinci
22  25                      little red riding huck          mouse - nappers                  scooter looter  1959.03.19  lewis marshall , kenneth muse , carlo vinci
